T,p_atm,H_kJ,G_kJ,S_kJ_per_molK,TS_kJ_per_mol
100,1,29.342426,18.922186,0.010418,10.418160
100,10,29.342426,20.836648,0.008494,8.493520
100,20,29.342426,21.412971,0.007950,7.949600
100,30,29.342426,21.750085,0.007573,7.573040
100,40,29.342426,21.989294,0.007364,7.363840
100,50,29.342426,22.174812,0.007155,7.154640
100,60,29.342426,22.326409,0.007029,7.029120
100,70,29.342426,22.454559,0.006904,6.903600
100,80,29.342426,22.565592,0.006778,6.778080
100,90,29.342426,22.663523,0.006694,6.694400
100,100,29.342426,22.751136,0.006611,6.610720
200,1,32.252504,7.377838,0.024895,24.894800
200,10,32.252504,11.206788,0.021046,21.045520
200,20,32.252504,12.359408,0.019874,19.874000
200,30,32.252504,13.033636,0.019205,19.204560
200,40,32.252504,13.512029,0.018744,18.744320
200,50,32.252504,13.883091,0.018368,18.367760
200,60,32.252504,14.186283,0.018075,18.074880
200,70,32.252504,14.442611,0.017824,17.823840
200,80,32.252504,14.664649,0.017573,17.572800
200,90,32.252504,14.860512,0.017405,17.405440
200,100,32.252504,15.035711,0.017196,17.196240
300,1,35.162581,-5.689169,0.040836,40.835840
300,10,35.162581,0.054217,0.035104,35.103760
300,20,35.162581,1.783161,0.033388,33.388320
300,30,35.162581,2.794529,0.032384,32.384160
300,40,35.162581,3.512105,0.031631,31.631040
300,50,35.162581,4.068684,0.031087,31.087120
300,60,35.162581,4.523473,0.030627,30.626880
300,70,35.162581,4.907951,0.030250,30.250320
300,80,35.162581,5.241022,0.029916,29.915600
300,90,35.162581,5.534816,0.029623,29.622720
300,100,35.162581,5.797628,0.029372,29.371680
400,1,38.072659,-19.745044,0.057823,57.822880
400,10,38.072659,-12.087170,0.050166,50.166160
400,20,38.072659,-9.781903,0.047865,47.864960
400,30,38.072659,-8.433420,0.046526,46.526080
400,40,38.072659,-7.476662,0.045564,45.563760
400,50,38.072659,-6.734538,0.044811,44.810640
400,60,38.072659,-6.128179,0.044183,44.183040
400,70,38.072659,-5.615497,0.043681,43.680960
400,80,38.072659,-5.171420,0.043263,43.262560
400,90,38.072659,-4.779696,0.042844,42.844160
400,100,38.072659,-4.429297,0.042509,42.509440
500,1,40.982868,-34.536190,0.075521,75.521200
500,10,40.982868,-24.963854,0.065940,65.939840
500,20,40.982868,-22.082290,0.063053,63.052880
500,30,40.982868,-20.396666,0.061379,61.379280
500,40,40.982868,-19.200725,0.060166,60.165920
500,50,40.982868,-18.273057,0.059245,59.245440
500,60,40.982868,-17.515128,0.058492,58.492320
500,70,40.982868,-16.874270,0.057865,57.864720
500,80,40.982868,-16.319160,0.057321,57.320800
500,90,40.982868,-15.829505,0.056819,56.818720
500,100,40.982868,-15.391519,0.056358,56.358480
600,1,43.894127,-49.913400,0.093805,93.805280
600,10,43.894127,-38.426576,0.082341,82.341120
600,20,43.894127,-34.968714,0.078868,78.868400
600,30,43.894127,-32.945977,0.076860,76.860080
600,40,43.894127,-31.510826,0.075396,75.395680
600,50,43.894127,-30.397641,0.074308,74.307840
600,60,43.894127,-29.488115,0.073387,73.387360
600,70,43.894127,-28.719106,0.072592,72.592400
600,80,43.894127,-28.052965,0.071965,71.964800
600,90,43.894127,-27.465378,0.071379,71.379040
600,100,43.894127,-26.939779,0.070835,70.835120
700,1,46.808878,-65.778296,0.112591,112.591440
700,10,46.808878,-52.377011,0.099203,99.202640
700,20,46.808878,-48.342826,0.095144,95.144160
700,30,46.808878,-45.983000,0.092801,92.801120
700,40,46.808878,-44.308640,0.091128,91.127520
700,50,46.808878,-43.009937,0.089830,89.830480
700,60,46.808878,-41.948815,0.088743,88.742640
700,70,46.808878,-41.051629,0.087864,87.864000
700,80,46.808878,-40.274455,0.087069,87.069040
700,90,46.808878,-39.588964,0.086400,86.399600
700,100,46.808878,-38.975752,0.085772,85.772000
800,1,49.731636,-82.061513,0.131796,131.796000
800,10,49.731636,-66.745766,0.116483,116.482560
800,20,49.731636,-62.135258,0.111880,111.880160
800,30,49.731636,-59.438292,0.109161,109.160560
800,40,49.731636,-57.524775,0.107236,107.235920
800,50,49.731636,-56.040528,0.105772,105.771520
800,60,49.731636,-54.827810,0.104558,104.558160
800,70,49.731636,-53.802473,0.103554,103.554000
800,80,49.731636,-52.914267,0.102634,102.633520
800,90,49.731636,-52.130844,0.101880,101.880400
800,100,49.731636,-51.430019,0.101169,101.169120
900,1,52.668258,-98.711776,0.151377,151.377120
900,10,52.668258,-81.481567,0.134139,134.139040
900,20,52.668258,-76.294761,0.128951,128.950880
900,30,52.668258,-73.260681,0.125938,125.938400
900,40,52.668258,-71.107955,0.123763,123.762720
900,50,52.668258,-69.438164,0.122089,122.089120
900,60,52.668258,-68.073875,0.120750,120.750240
900,70,52.668258,-66.920362,0.119579,119.578720
900,80,52.668258,-65.921149,0.118575,118.574560
900,90,52.668258,-65.039769,0.117696,117.695920
900,100,52.668258,-64.251358,0.116901,116.900960
1000,1,55.624859,-115.690042,0.171335,171.334800
1000,10,55.624859,-96.545371,0.152172,152.172080
1000,20,55.624859,-90.782242,0.146398,146.398160
1000,30,55.624859,-87.411021,0.143051,143.050960
1000,40,55.624859,-85.019112,0.140624,140.624240
1000,50,55.624859,-83.163803,0.138783,138.783280
1000,60,55.624859,-81.647892,0.137277,137.277040
1000,70,55.624859,-80.366228,0.135980,135.980000
1000,80,55.624859,-79.255983,0.134892,134.892160
1000,90,55.624859,-78.276698,0.133888,133.888000
1000,100,55.624859,-77.400674,0.133009,133.009360
