T,p_atm,H_kJ,G_kJ
100,1,15.945578,-0.597117
100,10,15.945578,1.317344
100,20,15.945578,1.893668
100,30,15.945578,2.230782
100,40,15.945578,2.469965
100,50,15.945578,2.655509
100,60,15.945578,2.807079
100,70,15.945578,2.935256
100,80,15.945578,3.046288
100,90,15.945578,3.144220
100,100,15.945578,3.231806
200,1,18.855656,-18.263921
200,10,18.855656,-14.434997
200,20,18.855656,-13.282376
200,30,18.855656,-12.608122
200,40,18.855656,-12.129729
200,50,18.855656,-11.758668
200,60,18.855656,-11.455501
200,70,18.855656,-11.199174
200,80,18.855656,-10.977109
200,90,18.855656,-10.781247
200,100,18.855656,-10.606047
300,1,21.766468,-37.453487
300,10,21.766468,-31.710076
300,20,21.766468,-29.981132
300,30,21.766468,-28.969789
300,40,21.766468,-28.252214
300,50,21.766468,-27.695608
300,60,21.766468,-27.240845
300,70,21.766468,-26.856341
300,80,21.766468,-26.523270
300,90,21.766468,-26.229476
300,100,21.766468,-25.966664
400,1,24.686076,-57.633025
400,10,24.686076,-49.975151
400,20,24.686076,-47.669910
400,30,24.686076,-46.321427
400,40,24.686076,-45.364669
400,50,24.686076,-44.622545
400,60,24.686076,-44.016186
400,70,24.686076,-43.503505
400,80,24.686076,-43.059401
400,90,24.686076,-42.667703
400,100,24.686076,-42.317278
500,1,27.635248,-78.553190
500,10,27.635248,-68.980854
500,20,27.635248,-66.099290
500,30,27.635248,-64.413666
500,40,27.635248,-63.217725
500,50,27.635248,-62.290057
500,60,27.635248,-61.532128
500,70,27.635248,-60.891270
500,80,27.635248,-60.336160
500,90,27.635248,-59.846505
500,100,27.635248,-59.408493
600,1,30.636850,-100.071758
600,10,30.636850,-88.584961
600,20,30.636850,-85.127073
600,30,30.636850,-83.104362
600,40,30.636850,-81.669211
600,50,30.636850,-80.556026
600,60,30.636850,-79.646474
600,70,30.636850,-78.877465
600,80,30.636850,-78.211323
600,90,30.636850,-77.623763
600,100,30.636850,-77.098138
700,1,33.705061,-122.098072
700,10,33.705061,-108.696813
700,20,33.705061,-104.662628
700,30,33.705061,-102.302776
700,40,33.705061,-100.628443
700,50,33.705061,-99.329713
700,60,33.705061,-98.268591
700,70,33.705061,-97.371406
700,80,33.705061,-96.594258
700,90,33.705061,-95.908740
700,100,33.705061,-95.295528
800,1,36.844135,-144.569041
800,10,36.844135,-129.253294
800,20,36.844135,-124.642811
800,30,36.844135,-121.945846
800,40,36.844135,-120.032303
800,50,36.844135,-118.548055
800,60,36.844135,-117.335337
800,70,36.844135,-116.310001
800,80,36.844135,-115.421820
800,90,36.844135,-114.638371
800,100,36.844135,-113.937573
900,1,40.051524,-167.437563
900,10,40.051524,-150.207354
900,20,40.051524,-145.020548
900,30,40.051524,-141.986468
900,40,40.051524,-139.833742
900,50,40.051524,-138.163951
900,60,40.051524,-136.799662
900,70,40.051524,-135.646149
900,80,40.051524,-134.646936
900,90,40.051524,-133.765556
900,100,40.051524,-132.977145
1000,1,43.321216,-190.666592
1000,10,43.321216,-171.521921
1000,20,43.321216,-165.758792
1000,30,43.321216,-162.387598
1000,40,43.321216,-159.995689
1000,50,43.321216,-158.140380
1000,60,43.321216,-156.624469
1000,70,43.321216,-155.342805
1000,80,43.321216,-154.232560
1000,90,43.321216,-153.253248
1000,100,43.321216,-152.377250
