T,p_atm,H_kJ,G_kJ
100,1,95.008036,78.581335
100,10,95.008036,80.495797
100,20,95.008036,81.072120
100,30,95.008036,81.409234
100,40,95.008036,81.648417
100,50,95.008036,81.833961
100,60,95.008036,81.985558
100,70,95.008036,82.113708
100,80,95.008036,82.224741
100,90,95.008036,82.322672
100,100,95.008036,82.410259
200,1,98.338088,60.869373
200,10,98.338088,64.698297
200,20,98.338088,65.850917
200,30,98.338088,66.525172
200,40,98.338088,67.003564
200,50,98.338088,67.374626
200,60,98.338088,67.677793
200,70,98.338088,67.934120
200,80,98.338088,68.156185
200,90,98.338088,68.352047
200,100,98.338088,68.527247
300,1,101.733148,41.405442
300,10,101.733148,47.148853
300,20,101.733148,48.877797
300,30,101.733148,49.889140
300,40,101.733148,50.606715
300,50,101.733148,51.163321
300,60,101.733148,51.618084
300,70,101.733148,52.002588
300,80,101.733148,52.335659
300,90,101.733148,52.629453
300,100,101.733148,52.892265
400,1,105.320106,20.762425
400,10,105.320106,28.420272
400,20,105.320106,30.725539
400,30,105.320106,32.074022
400,40,105.320106,33.030781
400,50,105.320106,33.772904
400,60,105.320106,34.379263
400,70,105.320106,34.891945
400,80,105.320106,35.336022
400,90,105.320106,35.727746
400,100,105.320106,36.078145
500,1,109.187493,-0.818237
500,10,109.187493,8.754098
500,20,109.187493,11.635663
500,30,109.187493,13.321260
500,40,109.187493,14.517228
500,50,109.187493,15.444869
500,60,109.187493,16.202825
500,70,109.187493,16.843657
500,80,109.187493,17.398792
500,90,109.187493,17.888422
500,100,109.187493,18.326434
600,1,113.361407,-23.206292
600,10,113.361407,-11.719495
600,20,113.361407,-8.261607
600,30,113.361407,-6.238896
600,40,113.361407,-4.803745
600,50,113.361407,-3.690560
600,60,113.361407,-2.781008
600,70,113.361407,-2.011999
600,80,113.361407,-1.345857
600,90,113.361407,-0.758297
600,100,113.361407,-0.232672
700,1,117.836650,-46.317226
700,10,117.836650,-32.915941
700,20,117.836650,-28.881756
700,30,117.836650,-26.521904
700,40,117.836650,-24.847571
700,50,117.836650,-23.548841
700,60,117.836650,-22.487719
700,70,117.836650,-21.590560
700,80,117.836650,-20.813386
700,90,117.836650,-20.127868
700,100,117.836650,-19.514656
800,1,122.599700,-70.089445
800,10,122.599700,-54.773698
800,20,122.599700,-50.163190
800,30,122.599700,-47.466224
800,40,122.599700,-45.552707
800,50,122.599700,-44.068460
800,60,122.599700,-42.855715
800,70,122.599700,-41.830379
800,80,122.599700,-40.942199
800,90,122.599700,-40.158750
800,100,122.599700,-39.457951
900,1,127.636196,-94.475138
900,10,127.636196,-77.244929
900,20,127.636196,-72.058124
900,30,127.636196,-69.024017
900,40,127.636196,-66.871318
900,50,127.636196,-65.201526
900,60,127.636196,-63.837212
900,70,127.636196,-62.683725
900,80,127.636196,-61.684512
900,90,127.636196,-60.803132
900,100,127.636196,-60.014721
1000,1,132.931540,-119.435606
1000,10,132.931540,-100.290935
1000,20,132.931540,-94.527806
1000,30,132.931540,-91.156585
1000,40,132.931540,-88.764676
1000,50,132.931540,-86.909367
1000,60,132.931540,-85.393482
1000,70,132.931540,-84.111792
1000,80,132.931540,-83.001574
1000,90,132.931540,-82.022262
1000,100,132.931540,-81.146238
