T,p_atm,H_kJ,G_kJ
100,1,58.012383,42.974335
100,10,58.012383,44.888797
100,20,58.012383,45.465121
100,30,58.012383,45.802235
100,40,58.012383,46.041418
100,50,58.012383,46.226962
100,60,58.012383,46.378532
100,70,58.012383,46.506709
100,80,58.012383,46.617741
100,90,58.012383,46.715672
100,100,58.012383,46.803259
200,1,61.338340,26.651552
200,10,61.338340,30.480475
200,20,61.338340,31.633096
200,30,61.338340,32.307350
200,40,61.338340,32.785743
200,50,61.338340,33.156805
200,60,61.338340,33.459971
200,70,61.338340,33.716299
200,80,61.338340,33.938363
200,90,61.338340,34.134226
200,100,61.338340,34.309425
300,1,64.671700,8.587589
300,10,64.671700,14.331001
300,20,64.671700,16.059945
300,30,64.671700,17.071314
300,40,64.671700,17.788863
300,50,64.671700,18.345469
300,60,64.671700,18.800231
300,70,64.671700,19.184736
300,80,64.671700,19.517807
300,90,64.671700,19.811600
300,100,64.671700,20.074413
400,1,68.044837,-10.613819
400,10,68.044837,-2.955945
400,20,68.044837,-0.650704
400,30,68.044837,0.697779
400,40,68.044837,1.654537
400,50,68.044837,2.396661
400,60,68.044837,3.003020
400,70,68.044837,3.515702
400,80,68.044837,3.959779
400,90,68.044837,4.351503
400,100,68.044837,4.701902
500,1,71.496529,-30.675970
500,10,71.496529,-21.103635
500,20,71.496529,-18.222070
500,30,71.496529,-16.536473
500,40,71.496529,-15.340505
500,50,71.496529,-14.412838
500,60,71.496529,-13.654908
500,70,71.496529,-13.014050
500,80,71.496529,-12.458941
500,90,71.496529,-11.969285
500,100,71.496529,-11.531299
600,1,75.048935,-51.442333
600,10,75.048935,-39.955536
600,20,75.048935,-36.497648
600,30,75.048935,-34.474937
600,40,75.048935,-33.039786
600,50,75.048935,-31.926600
600,60,75.048935,-31.017049
600,70,75.048935,-30.248040
600,80,75.048935,-29.581898
600,90,75.048935,-28.994337
600,100,75.048935,-28.468712
700,1,78.711927,-72.812167
700,10,78.711927,-59.410908
700,20,78.711927,-55.376723
700,30,78.711927,-53.016871
700,40,78.711927,-51.342538
700,50,78.711927,-50.043808
700,60,78.711927,-48.982686
700,70,78.711927,-48.085500
700,80,78.711927,-47.308353
700,90,78.711927,-46.622835
700,100,78.711927,-46.009623
800,1,82.490993,-94.714951
800,10,82.490993,-79.399204
800,20,82.490993,-74.788722
800,30,82.490993,-72.091756
800,40,82.490993,-70.178213
800,50,82.490993,-68.693966
800,60,82.490993,-67.481248
800,70,82.490993,-66.455911
800,80,82.490993,-65.567731
800,90,82.490993,-64.784282
800,100,82.490993,-64.083484
900,1,86.390017,-117.098517
900,10,86.390017,-99.868308
900,20,86.390017,-94.681502
900,30,86.390017,-91.647423
900,40,86.390017,-89.494697
900,50,86.390017,-87.824905
900,60,86.390017,-86.460591
900,70,86.390017,-85.307104
900,80,86.390017,-84.307891
900,90,86.390017,-83.426511
900,100,86.390017,-82.638099
1000,1,90.410812,-139.922720
1000,10,90.410812,-120.778050
1000,20,90.410812,-115.014921
1000,30,90.410812,-111.643700
1000,40,90.410812,-109.251791
1000,50,90.410812,-107.396482
1000,60,90.410812,-105.880571
1000,70,90.410812,-104.598907
1000,80,90.410812,-103.488662
1000,90,90.410812,-102.509377
1000,100,90.410812,-101.633353
