T,p_atm,H_kJ,G_kJ
100,1,142.695248,123.283380
100,10,142.695248,125.197868
100,20,142.695248,125.774165
100,30,142.695248,126.111280
100,40,142.695248,126.350489
100,50,142.695248,126.536007
100,60,142.695248,126.687603
100,70,142.695248,126.815780
100,80,142.695248,126.926786
100,90,142.695248,127.024717
100,100,142.695248,127.112330
200,1,146.277926,102.522872
200,10,146.277926,106.351796
200,20,146.277926,107.504416
200,30,146.277926,108.178671
200,40,146.277926,108.657037
200,50,146.277926,109.028099
200,60,146.277926,109.331291
200,70,146.277926,109.587619
200,80,146.277926,109.809658
200,90,146.277926,110.005520
200,100,146.277926,110.180719
300,1,150.476888,79.767536
300,10,150.476888,85.510921
300,20,150.476888,87.239865
300,30,150.476888,88.251234
300,40,150.476888,88.968809
300,50,150.476888,89.525389
300,60,150.476888,89.980178
300,70,150.476888,90.364682
300,80,150.476888,90.697753
300,90,150.476888,90.991520
300,100,150.476888,91.254333
400,1,155.503905,55.464677
400,10,155.503905,63.122551
400,20,155.503905,65.427792
400,30,155.503905,66.776301
400,40,155.503905,67.733059
400,50,155.503905,68.475183
400,60,155.503905,69.081542
400,70,155.503905,69.594197
400,80,155.503905,70.038300
400,90,155.503905,70.430025
400,100,155.503905,70.780424
500,1,161.387781,29.792017
500,10,161.387781,39.364352
500,20,161.387781,42.245917
500,30,161.387781,43.931514
500,40,161.387781,45.127481
500,50,161.387781,46.055123
500,60,161.387781,46.813078
500,70,161.387781,47.453910
500,80,161.387781,48.009046
500,90,161.387781,48.498675
500,100,161.387781,48.936687
600,1,168.045707,2.860508
600,10,168.045707,14.347331
600,20,168.045707,17.805193
600,30,168.045707,19.827931
600,40,168.045707,21.263081
600,50,168.045707,22.376267
600,60,168.045707,23.285792
600,70,168.045707,24.054801
600,80,168.045707,24.720943
600,90,168.045707,25.308530
600,100,168.045707,25.834129
700,1,175.374395,-25.239899
700,10,175.374395,-11.838640
700,20,175.374395,-7.804455
700,30,175.374395,-5.444604
700,40,175.374395,-3.770270
700,50,175.374395,-2.471540
700,60,175.374395,-1.410418
700,70,175.374395,-0.513259
700,80,175.374395,0.263915
700,90,175.374395,0.949433
700,100,175.374395,1.562645
800,1,183.286260,-54.431359
800,10,183.286260,-39.115612
800,20,183.286260,-34.505130
800,30,183.286260,-31.808164
800,40,183.286260,-29.894621
800,50,183.286260,-28.410374
800,60,183.286260,-27.197656
800,70,183.286260,-26.172319
800,80,183.286260,-25.284139
800,90,183.286260,-24.500690
800,100,183.286260,-23.799892
900,1,191.712564,-84.645714
900,10,191.712564,-67.415505
900,20,191.712564,-62.228699
900,30,191.712564,-59.194593
900,40,191.712564,-57.041867
900,50,191.712564,-55.372102
900,60,191.712564,-54.007787
900,70,191.712564,-52.854274
900,80,191.712564,-51.855062
900,90,191.712564,-50.973708
900,100,191.712564,-50.185296
1000,1,200.597675,-115.823128
1000,10,200.597675,-96.678457
1000,20,200.597675,-90.915328
1000,30,200.597675,-87.544108
1000,40,200.597675,-85.152199
1000,50,200.597675,-83.296890
1000,60,200.597675,-81.780979
1000,70,200.597675,-80.499315
1000,80,200.597675,-79.389070
1000,90,200.597675,-78.409785
1000,100,200.597675,-77.533761
