T,p_atm,H_kJ,G_kJ
100,1,29.342426,18.922186
100,10,29.342426,20.836648
100,20,29.342426,21.412971
100,30,29.342426,21.750085
100,40,29.342426,21.989294
100,50,29.342426,22.174812
100,60,29.342426,22.326409
100,70,29.342426,22.454559
100,80,29.342426,22.565592
100,90,29.342426,22.663523
100,100,29.342426,22.751136
200,1,32.252504,7.377838
200,10,32.252504,11.206788
200,20,32.252504,12.359408
200,30,32.252504,13.033636
200,40,32.252504,13.512029
200,50,32.252504,13.883091
200,60,32.252504,14.186283
200,70,32.252504,14.442611
200,80,32.252504,14.664649
200,90,32.252504,14.860512
200,100,32.252504,15.035711
300,1,35.162581,-5.689169
300,10,35.162581,0.054217
300,20,35.162581,1.783161
300,30,35.162581,2.794529
300,40,35.162581,3.512105
300,50,35.162581,4.068684
300,60,35.162581,4.523473
300,70,35.162581,4.907951
300,80,35.162581,5.241022
300,90,35.162581,5.534816
300,100,35.162581,5.797628
400,1,38.072659,-19.745044
400,10,38.072659,-12.087170
400,20,38.072659,-9.781903
400,30,38.072659,-8.433420
400,40,38.072659,-7.476662
400,50,38.072659,-6.734538
400,60,38.072659,-6.128179
400,70,38.072659,-5.615497
400,80,38.072659,-5.171420
400,90,38.072659,-4.779696
400,100,38.072659,-4.429297
500,1,40.982868,-34.536190
500,10,40.982868,-24.963854
500,20,40.982868,-22.082290
500,30,40.982868,-20.396666
500,40,40.982868,-19.200725
500,50,40.982868,-18.273057
500,60,40.982868,-17.515128
500,70,40.982868,-16.874270
500,80,40.982868,-16.319160
500,90,40.982868,-15.829505
500,100,40.982868,-15.391519
600,1,43.894127,-49.913400
600,10,43.894127,-38.426576
600,20,43.894127,-34.968714
600,30,43.894127,-32.945977
600,40,43.894127,-31.510826
600,50,43.894127,-30.397641
600,60,43.894127,-29.488115
600,70,43.894127,-28.719106
600,80,43.894127,-28.052965
600,90,43.894127,-27.465378
600,100,43.894127,-26.939779
700,1,46.808878,-65.778296
700,10,46.808878,-52.377011
700,20,46.808878,-48.342826
700,30,46.808878,-45.983000
700,40,46.808878,-44.308640
700,50,46.808878,-43.009937
700,60,46.808878,-41.948815
700,70,46.808878,-41.051629
700,80,46.808878,-40.274455
700,90,46.808878,-39.588964
700,100,46.808878,-38.975752
800,1,49.731636,-82.061513
800,10,49.731636,-66.745766
800,20,49.731636,-62.135258
800,30,49.731636,-59.438292
800,40,49.731636,-57.524775
800,50,49.731636,-56.040528
800,60,49.731636,-54.827810
800,70,49.731636,-53.802473
800,80,49.731636,-52.914267
800,90,49.731636,-52.130844
800,100,49.731636,-51.430019
900,1,52.668258,-98.711776
900,10,52.668258,-81.481567
900,20,52.668258,-76.294761
900,30,52.668258,-73.260681
900,40,52.668258,-71.107955
900,50,52.668258,-69.438164
900,60,52.668258,-68.073875
900,70,52.668258,-66.920362
900,80,52.668258,-65.921149
900,90,52.668258,-65.039769
900,100,52.668258,-64.251358
1000,1,55.624859,-115.690042
1000,10,55.624859,-96.545371
1000,20,55.624859,-90.782242
1000,30,55.624859,-87.411021
1000,40,55.624859,-85.019112
1000,50,55.624859,-83.163803
1000,60,55.624859,-81.647892
1000,70,55.624859,-80.366228
1000,80,55.624859,-79.255983
1000,90,55.624859,-78.276698
1000,100,55.624859,-77.400674
