T,p_atm,H_kJ,G_kJ
100,1,12.720913,-5.170160
100,10,12.720913,-3.255672
100,20,12.720913,-2.679375
100,30,12.720913,-2.342261
100,40,12.720913,-2.103051
100,50,12.720913,-1.917534
100,60,12.720913,-1.765937
100,70,12.720913,-1.637760
100,80,12.720913,-1.526754
100,90,12.720913,-1.428823
100,100,12.720913,-1.341210
200,1,15.631122,-24.185341
200,10,15.631122,-20.356391
200,20,15.631122,-19.203771
200,30,15.631122,-18.529542
200,40,15.631122,-18.051150
200,50,15.631122,-17.680088
200,60,15.631122,-17.376922
200,70,15.631122,-17.120568
200,80,15.631122,-16.898529
200,90,15.631122,-16.702667
200,100,15.631122,-16.527468
300,1,18.548577,-44.724126
300,10,18.548577,-38.980740
300,20,18.548577,-37.251796
300,30,18.548577,-36.240428
300,40,18.548577,-35.522852
300,50,18.548577,-34.966273
300,60,18.548577,-34.511484
300,70,18.548577,-34.127005
300,80,18.548577,-33.793935
300,90,18.548577,-33.500141
300,100,18.548577,-33.237329
400,1,21.505047,-66.258999
400,10,21.505047,-58.601125
400,20,21.505047,-56.295858
400,30,21.505047,-54.947375
400,40,21.505047,-53.990617
400,50,21.505047,-53.248493
400,60,21.505047,-52.642134
400,70,21.505047,-52.129479
400,80,21.505047,-51.685375
400,90,21.505047,-51.293651
400,100,21.505047,-50.943252
500,1,24.537736,-88.549070
500,10,24.537736,-78.976735
500,20,24.537736,-76.095171
500,30,24.537736,-74.409574
500,40,24.537736,-73.213606
500,50,24.537736,-72.285964
500,60,24.537736,-71.528009
500,70,24.537736,-70.887177
500,80,24.537736,-70.332041
500,90,24.537736,-69.842386
500,100,24.537736,-69.404400
600,1,27.663183,-111.458419
600,10,27.663183,-99.971595
600,20,27.663183,-96.513734
600,30,27.663183,-94.490996
600,40,27.663183,-93.055846
600,50,27.663183,-91.942660
600,60,27.663183,-91.033134
600,70,27.663183,-90.264126
600,80,27.663183,-89.597984
600,90,27.663183,-89.010397
600,100,27.663183,-88.484798
700,1,30.879262,-134.898354
700,10,30.879262,-121.497069
700,20,30.879262,-117.462884
700,30,30.879262,-115.103059
700,40,30.879262,-113.428699
700,50,30.879262,-112.129995
700,60,30.879262,-111.068873
700,70,30.879262,-110.171688
700,80,30.879262,-109.394514
700,90,30.879262,-108.709022
700,100,30.879262,-108.095810
800,1,34.175315,-158.804920
800,10,34.175315,-143.489173
800,20,34.175315,-138.878664
800,30,34.175315,-136.181698
800,40,34.175315,-134.268182
800,50,34.175315,-132.783934
800,60,34.175315,-131.571216
800,70,34.175315,-130.545880
800,80,34.175315,-129.657673
800,90,34.175315,-128.874250
800,100,34.175315,-128.173426
900,1,37.538711,-183.128730
900,10,37.538711,-165.898521
900,20,37.538711,-160.711715
900,30,37.538711,-157.677609
900,40,37.538711,-155.524909
900,50,37.538711,-153.855118
900,60,37.538711,-152.490803
900,70,37.538711,-151.337316
900,80,37.538711,-150.338077
900,90,37.538711,-149.456723
900,100,37.538711,-148.668312
1000,1,40.957689,-207.830113
1000,10,40.957689,-188.685416
1000,20,40.957689,-182.922313
1000,30,40.957689,-179.551093
1000,40,40.957689,-177.159184
1000,50,40.957689,-175.303874
1000,60,40.957689,-173.787964
1000,70,40.957689,-172.506300
1000,80,40.957689,-171.396055
1000,90,40.957689,-170.416769
1000,100,40.957689,-169.540745
