T,p_atm,H_kJ,G_kJ
100,1,107.759011,86.087034
100,10,107.759011,88.001496
100,20,107.759011,88.577820
100,30,107.759011,88.914934
100,40,107.759011,89.154117
100,50,107.759011,89.339661
100,60,107.759011,89.491231
100,70,107.759011,89.619408
100,80,107.759011,89.730440
100,90,107.759011,89.828371
100,100,107.759011,89.915958
200,1,111.588670,63.017137
200,10,111.588670,66.846087
200,20,111.588670,67.998707
200,30,111.588670,68.672962
200,40,111.588670,69.151328
200,50,111.588670,69.522390
200,60,111.588670,69.825582
200,70,111.588670,70.081910
200,80,111.588670,70.303949
200,90,111.588670,70.499811
200,100,111.588670,70.675010
300,1,116.728479,37.676208
300,10,116.728479,43.419620
300,20,116.728479,45.148538
300,30,116.728479,46.159907
300,40,116.728479,46.877482
300,50,116.728479,47.434088
300,60,116.728479,47.888851
300,70,116.728479,48.273355
300,80,116.728479,48.606426
300,90,116.728479,48.900219
300,100,116.728479,49.163005
400,1,123.174186,10.387474
400,10,123.174186,18.045348
400,20,123.174186,20.350589
400,30,123.174186,21.699072
400,40,123.174186,22.655856
400,50,123.174186,23.397980
400,60,123.174186,24.004339
400,70,123.174186,24.516994
400,80,123.174186,24.961097
400,90,123.174186,25.352822
400,100,123.174186,25.703221
500,1,130.690177,-18.658113
500,10,130.690177,-9.085778
500,20,130.690177,-6.204213
500,30,130.690177,-4.518616
500,40,130.690177,-3.322649
500,50,130.690177,-2.395007
500,60,130.690177,-1.637052
500,70,130.690177,-0.996220
500,80,130.690177,-0.441110
500,90,130.690177,0.048545
500,100,130.690177,0.486558
600,1,139.046486,-49.298954
600,10,139.046486,-37.812157
600,20,139.046486,-34.354269
600,30,139.046486,-32.331558
600,40,139.046486,-30.896407
600,50,139.046486,-29.783221
600,60,139.046486,-28.873670
600,70,139.046486,-28.104661
600,80,139.046486,-27.438519
600,90,139.046486,-26.850958
600,100,139.046486,-26.325333
700,1,148.059853,-81.392720
700,10,148.059853,-67.991461
700,20,148.059853,-63.957276
700,30,148.059853,-61.597424
700,40,148.059853,-59.923091
700,50,148.059853,-58.624361
700,60,148.059853,-57.563239
700,70,148.059853,-56.666053
700,80,148.059853,-55.888905
700,90,148.059853,-55.203387
700,100,148.059853,-54.590176
800,1,157.595667,-114.815173
800,10,157.595667,-99.499426
800,20,157.595667,-94.888943
800,30,157.595667,-92.191977
800,40,157.595667,-90.278435
800,50,157.595667,-88.794187
800,60,157.595667,-87.581469
800,70,157.595667,-86.556132
800,80,157.595667,-85.667952
800,90,157.595667,-84.884503
800,100,157.595667,-84.183705
900,1,167.557469,-149.458850
900,10,167.557469,-132.228641
900,20,167.557469,-127.041835
900,30,167.557469,-124.007756
900,40,167.557469,-121.855030
900,50,167.557469,-120.185238
900,60,167.557469,-118.820924
900,70,167.557469,-117.667437
900,80,167.557469,-116.668224
900,90,167.557469,-115.786844
900,100,167.557469,-114.998432
1000,1,177.875315,-185.231046
1000,10,177.875315,-166.086375
1000,20,177.875315,-160.323246
1000,30,177.875315,-156.952052
1000,40,177.875315,-154.560143
1000,50,177.875315,-152.704808
1000,60,177.875315,-151.188923
1000,70,177.875315,-149.907259
1000,80,177.875315,-148.797014
1000,90,177.875315,-147.817703
1000,100,177.875315,-146.941705
