T,p_atm,H_kJ,G_kJ
100,1,33.573209,15.117942
100,10,33.573209,17.032404
100,20,33.573209,17.608727
100,30,33.573209,17.945841
100,40,33.573209,18.185024
100,50,33.573209,18.370568
100,60,33.573209,18.522165
100,70,33.573209,18.650315
100,80,33.573209,18.761348
100,90,33.573209,18.859279
100,100,33.573209,18.946865
200,1,36.621283,-4.489631
200,10,36.621283,-0.660707
200,20,36.621283,0.491914
200,30,36.621283,1.166168
200,40,36.621283,1.644560
200,50,36.621283,2.015622
200,60,36.621283,2.318789
200,70,36.621283,2.575116
200,80,36.621283,2.797181
200,90,36.621283,2.993043
200,100,36.621283,3.168243
300,1,40.111622,-25.780595
300,10,40.111622,-20.037209
300,20,40.111622,-18.308265
300,30,40.111622,-17.296897
300,40,40.111622,-16.579321
300,50,40.111622,-16.022742
300,60,40.111622,-15.567979
300,70,40.111622,-15.183474
300,80,40.111622,-14.850403
300,90,40.111622,-14.556610
300,100,40.111622,-14.293798
400,1,44.047771,-48.326810
400,10,44.047771,-40.668937
400,20,44.047771,-38.363695
400,30,44.047771,-37.015213
400,40,44.047771,-36.058428
400,50,44.047771,-35.316304
400,60,44.047771,-34.709945
400,70,44.047771,-34.197290
400,80,44.047771,-33.753187
400,90,44.047771,-33.361462
400,100,44.047771,-33.011063
500,1,48.342379,-71.910518
500,10,48.342379,-62.338183
500,20,48.342379,-59.456618
500,30,48.342379,-57.771021
500,40,48.342379,-56.575053
500,50,48.342379,-55.647412
500,60,48.342379,-54.889456
500,70,48.342379,-54.248625
500,80,48.342379,-53.693489
500,90,48.342379,-53.203859
500,100,48.342379,-52.765847
600,1,52.926055,-96.386948
600,10,52.926055,-84.900151
600,20,52.926055,-81.442263
600,30,52.926055,-79.419552
600,40,52.926055,-77.984401
600,50,52.926055,-76.871216
600,60,52.926055,-75.961664
600,70,52.926055,-75.192681
600,80,52.926055,-74.526540
600,90,52.926055,-73.938953
600,100,52.926055,-73.413354
700,1,57.747917,-121.650241
700,10,57.747917,-108.248956
700,20,57.747917,-104.214770
700,30,57.747917,-101.854919
700,40,57.747917,-100.180585
700,50,57.747917,-98.881882
700,60,57.747917,-97.820734
700,70,57.747917,-96.923574
700,80,57.747917,-96.146400
700,90,57.747917,-95.460882
700,100,57.747917,-94.847697
800,1,62.768318,-147.618585
800,10,62.768318,-132.302838
800,20,62.768318,-127.692355
800,30,62.768318,-124.995390
800,40,62.768318,-123.081847
800,50,62.768318,-121.597599
800,60,62.768318,-120.384881
800,70,62.768318,-119.359545
800,80,62.768318,-118.471365
800,90,62.768318,-117.687915
800,100,62.768318,-116.987091
900,1,67.954730,-174.226317
900,10,67.954730,-156.996108
900,20,67.954730,-151.809302
900,30,67.954730,-148.775222
900,40,67.954730,-146.622497
900,50,67.954730,-144.952705
900,60,67.954730,-143.588417
900,70,67.954730,-142.434903
900,80,67.954730,-141.435691
900,90,67.954730,-140.554311
900,100,67.954730,-139.765899
1000,1,73.280084,-201.419142
1000,10,73.280084,-182.274445
1000,20,73.280084,-176.511342
1000,30,73.280084,-173.140121
1000,40,73.280084,-170.748213
1000,50,73.280084,-168.892903
1000,60,73.280084,-167.376992
1000,70,73.280084,-166.095328
1000,80,73.280084,-164.985083
1000,90,73.280084,-164.005798
1000,100,73.280084,-163.129774
