T,p_atm,H_kJ,G_kJ
100,1,15.683212,-1.069471
100,10,15.683212,0.844991
100,20,15.683212,1.421288
100,30,15.683212,1.758428
100,40,15.683212,1.997611
100,50,15.683212,2.183129
100,60,15.683212,2.334726
100,70,15.683212,2.462902
100,80,15.683212,2.573935
100,90,15.683212,2.671866
100,100,15.683212,2.759453
200,1,18.593316,-18.946314
200,10,18.593316,-15.117364
200,20,18.593316,-13.964744
200,30,18.593316,-13.290489
200,40,18.593316,-12.812123
200,50,18.593316,-12.441061
200,60,18.593316,-12.137869
200,70,18.593316,-11.881541
200,80,18.593316,-11.659502
200,90,18.593316,-11.463640
200,100,18.593316,-11.288441
300,1,21.504286,-38.345895
300,10,21.504286,-32.602483
300,20,21.504286,-30.873539
300,30,21.504286,-29.862196
300,40,21.504286,-29.144621
300,50,21.504286,-28.588015
300,60,21.504286,-28.133252
300,70,21.504286,-27.748748
300,80,21.504286,-27.415677
300,90,21.504286,-27.121884
300,100,21.504286,-26.859071
400,1,24.425233,-58.735656
400,10,24.425233,-51.077782
400,20,24.425233,-48.772541
400,30,24.425233,-47.424058
400,40,24.425233,-46.467300
400,50,24.425233,-45.725176
400,60,24.425233,-45.118817
400,70,24.425233,-44.606136
400,80,24.425233,-44.162059
400,90,24.425233,-43.770334
400,100,24.425233,-43.419935
500,1,27.378421,-79.866674
500,10,27.378421,-70.294339
500,20,27.378421,-67.412775
500,30,27.378421,-65.727151
500,40,27.378421,-64.531210
500,50,27.378421,-63.603542
500,60,27.378421,-62.845613
500,70,27.378421,-62.204755
500,80,27.378421,-61.649645
500,90,27.378421,-61.159990
500,100,27.378421,-60.722004
600,1,30.387060,-101.597200
600,10,30.387060,-90.110376
600,20,30.387060,-86.652515
600,30,30.387060,-84.629777
600,40,30.387060,-83.194627
600,50,30.387060,-82.081441
600,60,30.387060,-81.171915
600,70,30.387060,-80.402907
600,80,30.387060,-79.736765
600,90,30.387060,-79.149178
600,100,30.387060,-78.623579
700,1,33.464697,-123.836836
700,10,33.464697,-110.435577
700,20,33.464697,-106.401391
700,30,33.464697,-104.041540
700,40,33.464697,-102.367180
700,50,33.464697,-101.068477
700,60,33.464697,-100.007355
700,70,33.464697,-99.110169
700,80,33.464697,-98.332995
700,90,33.464697,-97.647503
700,100,33.464697,-97.034291
800,1,36.614588,-146.522596
800,10,36.614588,-131.206849
800,20,36.614588,-126.596341
800,30,36.614588,-123.899375
800,40,36.614588,-121.985858
800,50,36.614588,-120.501611
800,60,36.614588,-119.288893
800,70,36.614588,-118.263530
800,80,36.614588,-117.375350
800,90,36.614588,-116.591927
800,100,36.614588,-115.891102
900,1,39.833293,-169.607302
900,10,39.833293,-152.377067
900,20,39.833293,-147.190261
900,30,39.833293,-144.156181
900,40,39.833293,-142.003455
900,50,39.833293,-140.333690
900,60,39.833293,-138.969375
900,70,39.833293,-137.815862
900,80,39.833293,-136.816649
900,90,39.833293,-135.935269
900,100,39.833293,-135.146858
1000,1,43.114353,-193.053775
1000,10,43.114353,-173.909078
1000,20,43.114353,-168.145975
1000,30,43.114353,-164.774755
1000,40,43.114353,-162.382846
1000,50,43.114353,-160.527536
1000,60,43.114353,-159.011625
1000,70,43.114353,-157.729962
1000,80,43.114353,-156.619716
1000,90,43.114353,-155.640431
1000,100,43.114353,-154.764407
