T,p_atm,H_kJ,G_kJ
100,1,122.737906,106.655382
100,10,122.737906,108.569844
100,20,122.737906,109.146167
100,30,122.737906,109.483282
100,40,122.737906,109.722465
100,50,122.737906,109.908009
100,60,122.737906,110.059605
100,70,122.737906,110.187756
100,80,122.737906,110.298788
100,90,122.737906,110.396719
100,100,122.737906,110.484306
200,1,126.066856,89.287755
200,10,126.066856,93.116705
200,20,126.066856,94.269325
200,30,126.066856,94.943554
200,40,126.066856,95.421946
200,50,126.066856,95.793008
200,60,126.066856,96.096200
200,70,126.066856,96.352528
200,80,126.066856,96.574566
200,90,126.066856,96.770429
200,100,126.066856,96.945628
300,1,129.479874,70.167134
300,10,129.479874,75.910545
300,20,129.479874,77.639489
300,30,129.479874,78.650832
300,40,129.479874,79.368407
300,50,129.479874,79.925013
300,60,129.479874,80.379776
300,70,129.479874,80.764280
300,80,129.479874,81.097351
300,90,129.479874,81.391145
300,100,129.479874,81.653957
400,1,133.212075,49.845740
400,10,133.212075,57.503614
400,20,133.212075,59.808855
400,30,133.212075,61.157338
400,40,133.212075,62.114096
400,50,133.212075,62.856220
400,60,133.212075,63.462579
400,70,133.212075,63.975260
400,80,133.212075,64.419364
400,90,133.212075,64.811062
400,100,133.212075,65.161487
500,1,137.450786,28.525161
500,10,137.450786,38.097496
500,20,137.450786,40.979061
500,30,137.450786,42.664658
500,40,137.450786,43.860625
500,50,137.450786,44.788267
500,60,137.450786,45.546222
500,70,137.450786,46.187054
500,80,137.450786,46.742190
500,90,137.450786,47.231819
500,100,137.450786,47.669831
600,1,142.252878,6.298416
600,10,142.252878,17.785213
600,20,142.252878,21.243101
600,30,142.252878,23.265812
600,40,142.252878,24.700963
600,50,142.252878,25.814149
600,60,142.252878,26.723700
600,70,142.252878,27.492709
600,80,142.252878,28.158851
600,90,142.252878,28.746412
600,100,142.252878,29.272037
700,1,147.606586,-16.776391
700,10,147.606586,-3.375106
700,20,147.606586,0.659079
700,30,147.606586,3.018931
700,40,147.606586,4.693264
700,50,147.606586,5.991994
700,60,147.606586,7.053116
700,70,147.606586,7.950275
700,80,147.606586,8.727450
700,90,147.606586,9.412967
700,100,147.606586,10.026179
800,1,153.477860,-40.654339
800,10,153.477860,-25.338618
800,20,153.477860,-20.728109
800,30,153.477860,-18.031144
800,40,153.477860,-16.117601
800,50,153.477860,-14.633353
800,60,153.477860,-13.420635
800,70,153.477860,-12.395299
800,80,153.477860,-11.507118
800,90,153.477860,-10.723669
800,100,153.477860,-10.022871
900,1,159.826449,-65.297199
900,10,159.826449,-48.066991
900,20,159.826449,-42.880185
900,30,159.826449,-39.846105
900,40,159.826449,-37.693379
900,50,159.826449,-36.023588
900,60,159.826449,-34.659299
900,70,159.826449,-33.505786
900,80,159.826449,-32.506573
900,90,159.826449,-31.625193
900,100,159.826449,-30.836782
1000,1,166.610373,-90.670605
1000,10,166.610373,-71.525935
1000,20,166.610373,-65.762806
1000,30,166.610373,-62.391612
1000,40,166.610373,-59.999703
1000,50,166.610373,-58.144367
1000,60,166.610373,-56.628482
1000,70,166.610373,-55.346818
1000,80,166.610373,-54.236573
1000,90,166.610373,-53.257262
1000,100,166.610373,-52.381264
