T,p_atm,H_kJ,G_kJ
100,1,15.683212,-0.903329
100,10,15.683212,1.011159
100,20,15.683212,1.587456
100,30,15.683212,1.924596
100,40,15.683212,2.163779
100,50,15.683212,2.349297
100,60,15.683212,2.500893
100,70,15.683212,2.629070
100,80,15.683212,2.740076
100,90,15.683212,2.838008
100,100,15.683212,2.925620
200,1,18.593316,-18.613978
200,10,18.593316,-14.785029
200,20,18.593316,-13.632408
200,30,18.593316,-12.958180
200,40,18.593316,-12.479787
200,50,18.593316,-12.108725
200,60,18.593316,-11.805559
200,70,18.593316,-11.549205
200,80,18.593316,-11.327167
200,90,18.593316,-11.131304
200,100,18.593316,-10.956105
300,1,21.504286,-37.847391
300,10,21.504286,-32.104005
300,20,21.504286,-30.375061
300,30,21.504286,-29.363693
300,40,21.504286,-28.646117
300,50,21.504286,-28.089538
300,60,21.504286,-27.634749
300,70,21.504286,-27.250244
300,80,21.504286,-26.917173
300,90,21.504286,-26.623406
300,100,21.504286,-26.360594
400,1,24.425233,-58.071011
400,10,24.425233,-50.413137
400,20,24.425233,-48.107896
400,30,24.425233,-46.759413
400,40,24.425233,-45.802629
400,50,24.425233,-45.060505
400,60,24.425233,-44.454146
400,70,24.425233,-43.941491
400,80,24.425233,-43.497387
400,90,24.425233,-43.105663
400,100,24.425233,-42.755264
500,1,27.378421,-79.035861
500,10,27.378421,-69.463500
500,20,27.378421,-66.581961
500,30,27.378421,-64.896338
500,40,27.378421,-63.700397
500,50,27.378421,-62.772729
500,60,27.378421,-62.014774
500,70,27.378421,-61.373942
500,80,27.378421,-60.818832
500,90,27.378421,-60.329177
500,100,27.378421,-59.891165
600,1,30.387060,-100.600219
600,10,30.387060,-89.113395
600,20,30.387060,-85.655534
600,30,30.387060,-83.632796
600,40,30.387060,-82.197646
600,50,30.387060,-81.084460
600,60,30.387060,-80.174934
600,70,30.387060,-79.405926
600,80,30.387060,-78.739784
600,90,30.387060,-78.152197
600,100,30.387060,-77.626598
700,1,33.464697,-122.673687
700,10,33.464697,-109.272428
700,20,33.464697,-105.238243
700,30,33.464697,-102.878391
700,40,33.464697,-101.204057
700,50,33.464697,-99.905328
700,60,33.464697,-98.844206
700,70,33.464697,-97.947020
700,80,33.464697,-97.169872
700,90,33.464697,-96.484354
700,100,33.464697,-95.871143
800,1,36.614588,-145.193280
800,10,36.614588,-129.877533
800,20,36.614588,-125.267050
800,30,36.614588,-122.570058
800,40,36.614588,-120.656542
800,50,36.614588,-119.172294
800,60,36.614588,-117.959576
800,70,36.614588,-116.934240
800,80,36.614588,-116.046033
800,90,36.614588,-115.262610
800,100,36.614588,-114.561786
900,1,39.833293,-168.111817
900,10,39.833293,-150.881608
900,20,39.833293,-145.694803
900,30,39.833293,-142.660696
900,40,39.833293,-140.507997
900,50,39.833293,-138.838205
900,60,39.833293,-137.473891
900,70,39.833293,-136.320377
900,80,39.833293,-135.321165
900,90,39.833293,-134.439811
900,100,39.833293,-133.651399
1000,1,43.114353,-191.392122
1000,10,43.114353,-172.247452
1000,20,43.114353,-166.484322
1000,30,43.114353,-163.113128
1000,40,43.114353,-160.721219
1000,50,43.114353,-158.865884
1000,60,43.114353,-157.349999
1000,70,43.114353,-156.068335
1000,80,43.114353,-154.958090
1000,90,43.114353,-153.978779
1000,100,43.114353,-153.102781
