T,p_atm,H_kJ,G_kJ,S_kJ_per_molK,TS_kJ_per_mol
100,1,33.573209,15.117942,0.018451,18.451440
100,10,33.573209,17.032404,0.016527,16.526800
100,20,33.573209,17.608727,0.015983,15.982880
100,30,33.573209,17.945841,0.015648,15.648160
100,40,33.573209,18.185024,0.015397,15.397120
100,50,33.573209,18.370568,0.015188,15.187920
100,60,33.573209,18.522165,0.015062,15.062400
100,70,33.573209,18.650315,0.014937,14.936880
100,80,33.573209,18.761348,0.014811,14.811360
100,90,33.573209,18.859279,0.014728,14.727680
100,100,33.573209,18.946865,0.014644,14.644000
200,1,36.621283,-4.489631,0.041129,41.128720
200,10,36.621283,-0.660707,0.037279,37.279440
200,20,36.621283,0.491914,0.036150,36.149760
200,30,36.621283,1.166168,0.035438,35.438480
200,40,36.621283,1.644560,0.034978,34.978240
200,50,36.621283,2.015622,0.034602,34.601680
200,60,36.621283,2.318789,0.034309,34.308800
200,70,36.621283,2.575116,0.034058,34.057760
200,80,36.621283,2.797181,0.033807,33.806720
200,90,36.621283,2.993043,0.033639,33.639360
200,100,36.621283,3.168243,0.033472,33.472000
300,1,40.111622,-25.780595,0.065898,65.898000
300,10,40.111622,-20.037209,0.060166,60.165920
300,20,40.111622,-18.308265,0.058409,58.408640
300,30,40.111622,-17.296897,0.057404,57.404480
300,40,40.111622,-16.579321,0.056693,56.693200
300,50,40.111622,-16.022742,0.056149,56.149280
300,60,40.111622,-15.567979,0.055689,55.689040
300,70,40.111622,-15.183474,0.055312,55.312480
300,80,40.111622,-14.850403,0.054978,54.977760
300,90,40.111622,-14.556610,0.054685,54.684880
300,100,40.111622,-14.293798,0.054392,54.392000
400,1,44.047771,-48.326810,0.092383,92.382720
400,10,44.047771,-40.668937,0.084726,84.726000
400,20,44.047771,-38.363695,0.082425,82.424800
400,30,44.047771,-37.015213,0.081044,81.044080
400,40,44.047771,-36.058428,0.080124,80.123600
400,50,44.047771,-35.316304,0.079370,79.370480
400,60,44.047771,-34.709945,0.078743,78.742880
400,70,44.047771,-34.197290,0.078241,78.240800
400,80,44.047771,-33.753187,0.077781,77.780560
400,90,44.047771,-33.361462,0.077404,77.404000
400,100,44.047771,-33.011063,0.077069,77.069280
500,1,48.342379,-71.910518,0.120248,120.248160
500,10,48.342379,-62.338183,0.110667,110.666800
500,20,48.342379,-59.456618,0.107780,107.779840
500,30,48.342379,-57.771021,0.106106,106.106240
500,40,48.342379,-56.575053,0.104935,104.934720
500,50,48.342379,-55.647412,0.103972,103.972400
500,60,48.342379,-54.889456,0.103219,103.219280
500,70,48.342379,-54.248625,0.102592,102.591680
500,80,48.342379,-53.693489,0.102048,102.047760
500,90,48.342379,-53.203859,0.101546,101.545680
500,100,48.342379,-52.765847,0.101127,101.127280
600,1,52.926055,-96.386948,0.149327,149.326960
600,10,52.926055,-84.900151,0.137821,137.820960
600,20,52.926055,-81.442263,0.134348,134.348240
600,30,52.926055,-79.419552,0.132340,132.339920
600,40,52.926055,-77.984401,0.130917,130.917360
600,50,52.926055,-76.871216,0.129788,129.787680
600,60,52.926055,-75.961664,0.128867,128.867200
600,70,52.926055,-75.192681,0.128114,128.114080
600,80,52.926055,-74.526540,0.127445,127.444640
600,90,52.926055,-73.938953,0.126859,126.858880
600,100,52.926055,-73.413354,0.126357,126.356800
700,1,57.747917,-121.650241,0.179410,179.409920
700,10,57.747917,-108.248956,0.165979,165.979280
700,20,57.747917,-104.214770,0.161963,161.962640
700,30,57.747917,-101.854919,0.159620,159.619600
700,40,57.747917,-100.180585,0.157946,157.946000
700,50,57.747917,-98.881882,0.156649,156.648960
700,60,57.747917,-97.820734,0.155561,155.561120
700,70,57.747917,-96.923574,0.154682,154.682480
700,80,57.747917,-96.146400,0.153888,153.887520
700,90,57.747917,-95.460882,0.153218,153.218080
700,100,57.747917,-94.847697,0.152590,152.590480
800,1,62.768318,-147.618585,0.210372,210.371520
800,10,62.768318,-132.302838,0.195058,195.058080
800,20,62.768318,-127.692355,0.190456,190.455680
800,30,62.768318,-124.995390,0.187778,187.777920
800,40,62.768318,-123.081847,0.185853,185.853280
800,50,62.768318,-121.597599,0.184347,184.347040
800,60,62.768318,-120.384881,0.183134,183.133680
800,70,62.768318,-119.359545,0.182130,182.129520
800,80,62.768318,-118.471365,0.181251,181.250880
800,90,62.768318,-117.687915,0.180456,180.455920
800,100,62.768318,-116.987091,0.179745,179.744640
900,1,67.954730,-174.226317,0.242170,242.169920
900,10,67.954730,-156.996108,0.224932,224.931840
900,20,67.954730,-151.809302,0.219744,219.743680
900,30,67.954730,-148.775222,0.216731,216.731200
900,40,67.954730,-146.622497,0.214597,214.597360
900,50,67.954730,-144.952705,0.212924,212.923760
900,60,67.954730,-143.588417,0.211543,211.543040
900,70,67.954730,-142.434903,0.210372,210.371520
900,80,67.954730,-141.435691,0.209409,209.409200
900,90,67.954730,-140.554311,0.208489,208.488720
900,100,67.954730,-139.765899,0.207736,207.735600
1000,1,73.280084,-201.419142,0.274680,274.679600
1000,10,73.280084,-182.274445,0.255559,255.558720
1000,20,73.280084,-176.511342,0.249785,249.784800
1000,30,73.280084,-173.140121,0.246438,246.437600
1000,40,73.280084,-170.748213,0.244011,244.010880
1000,50,73.280084,-168.892903,0.242170,242.169920
1000,60,73.280084,-167.376992,0.240664,240.663680
1000,70,73.280084,-166.095328,0.239367,239.366640
1000,80,73.280084,-164.985083,0.238279,238.278800
1000,90,73.280084,-164.005798,0.237275,237.274640
1000,100,73.280084,-163.129774,0.236396,236.396000
