T,p_atm,H_kJ,G_kJ,S_kJ_per_molK,TS_kJ_per_mol
100,1,107.759011,86.087034,0.021673,21.673120
100,10,107.759011,88.001496,0.019748,19.748480
100,20,107.759011,88.577820,0.019163,19.162720
100,30,107.759011,88.914934,0.018828,18.828000
100,40,107.759011,89.154117,0.018619,18.618800
100,50,107.759011,89.339661,0.018410,18.409600
100,60,107.759011,89.491231,0.018284,18.284080
100,70,107.759011,89.619408,0.018159,18.158560
100,80,107.759011,89.730440,0.018033,18.033040
100,90,107.759011,89.828371,0.017949,17.949360
100,100,107.759011,89.915958,0.017824,17.823840
200,1,111.588670,63.017137,0.048576,48.576240
200,10,111.588670,66.846087,0.044727,44.726960
200,20,111.588670,67.998707,0.043597,43.597280
200,30,111.588670,68.672962,0.042928,42.927840
200,40,111.588670,69.151328,0.042426,42.425760
200,50,111.588670,69.522390,0.042049,42.049200
200,60,111.588670,69.825582,0.041756,41.756320
200,70,111.588670,70.081910,0.041505,41.505280
200,80,111.588670,70.303949,0.041296,41.296080
200,90,111.588670,70.499811,0.041087,41.086880
200,100,111.588670,70.675010,0.040920,40.919520
300,1,116.728479,37.676208,0.079036,79.035760
300,10,116.728479,43.419620,0.073304,73.303680
300,20,116.728479,45.148538,0.071588,71.588240
300,30,116.728479,46.159907,0.070584,70.584080
300,40,116.728479,46.877482,0.069831,69.830960
300,50,116.728479,47.434088,0.069287,69.287040
300,60,116.728479,47.888851,0.068827,68.826800
300,70,116.728479,48.273355,0.068450,68.450240
300,80,116.728479,48.606426,0.068116,68.115520
300,90,116.728479,48.900219,0.067823,67.822640
300,100,116.728479,49.163005,0.067572,67.571600
400,1,123.174186,10.387474,0.112801,112.800640
400,10,123.174186,18.045348,0.105144,105.143920
400,20,123.174186,20.350589,0.102843,102.842720
400,30,123.174186,21.699072,0.101462,101.462000
400,40,123.174186,22.655856,0.100500,100.499680
400,50,123.174186,23.397980,0.099788,99.788400
400,60,123.174186,24.004339,0.099161,99.160800
400,70,123.174186,24.516994,0.098659,98.658720
400,80,123.174186,24.961097,0.098198,98.198480
400,90,123.174186,25.352822,0.097822,97.821920
400,100,123.174186,25.703221,0.097487,97.487200
500,1,130.690177,-18.658113,0.149369,149.368800
500,10,130.690177,-9.085778,0.139787,139.787440
500,20,130.690177,-6.204213,0.136900,136.900480
500,30,130.690177,-4.518616,0.135227,135.226880
500,40,130.690177,-3.322649,0.134014,134.013520
500,50,130.690177,-2.395007,0.133093,133.093040
500,60,130.690177,-1.637052,0.132340,132.339920
500,70,130.690177,-0.996220,0.131670,131.670480
500,80,130.690177,-0.441110,0.131127,131.126560
500,90,130.690177,0.048545,0.130624,130.624480
500,100,130.690177,0.486558,0.130206,130.206080
600,1,139.046486,-49.298954,0.188364,188.363680
600,10,139.046486,-37.812157,0.176858,176.857680
600,20,139.046486,-34.354269,0.173385,173.384960
600,30,139.046486,-32.331558,0.171377,171.376640
600,40,139.046486,-30.896407,0.169954,169.954080
600,50,139.046486,-29.783221,0.168824,168.824400
600,60,139.046486,-28.873670,0.167904,167.903920
600,70,139.046486,-28.104661,0.167151,167.150800
600,80,139.046486,-27.438519,0.166481,166.481360
600,90,139.046486,-26.850958,0.165896,165.895600
600,100,139.046486,-26.325333,0.165352,165.351680
700,1,148.059853,-81.392720,0.229451,229.450560
700,10,148.059853,-67.991461,0.216062,216.061760
700,20,148.059853,-63.957276,0.212003,212.003280
700,30,148.059853,-61.597424,0.209660,209.660240
700,40,148.059853,-59.923091,0.207987,207.986640
700,50,148.059853,-58.624361,0.206690,206.689600
700,60,148.059853,-57.563239,0.205602,205.601760
700,70,148.059853,-56.666053,0.204723,204.723120
700,80,148.059853,-55.888905,0.203928,203.928160
700,90,148.059853,-55.203387,0.203259,203.258720
700,100,148.059853,-54.590176,0.202631,202.631120
800,1,157.595667,-114.815173,0.272420,272.420240
800,10,157.595667,-99.499426,0.257107,257.106800
800,20,157.595667,-94.888943,0.252504,252.504400
800,30,157.595667,-92.191977,0.249785,249.784800
800,40,157.595667,-90.278435,0.247860,247.860160
800,50,157.595667,-88.794187,0.246396,246.395760
800,60,157.595667,-87.581469,0.245182,245.182400
800,70,157.595667,-86.556132,0.244136,244.136400
800,80,157.595667,-85.667952,0.243258,243.257760
800,90,157.595667,-84.884503,0.242463,242.462800
800,100,157.595667,-84.183705,0.241793,241.793360
900,1,167.557469,-149.458850,0.317022,317.021680
900,10,167.557469,-132.228641,0.299784,299.783600
900,20,167.557469,-127.041835,0.294595,294.595440
900,30,167.557469,-124.007756,0.291583,291.582960
900,40,167.557469,-121.855030,0.289407,289.407280
900,50,167.557469,-120.185238,0.287734,287.733680
900,60,167.557469,-118.820924,0.286395,286.394800
900,70,167.557469,-117.667437,0.285223,285.223280
900,80,167.557469,-116.668224,0.284219,284.219120
900,90,167.557469,-115.786844,0.283340,283.340480
900,100,167.557469,-114.998432,0.282546,282.545520
1000,1,177.875315,-185.231046,0.363088,363.087520
1000,10,177.875315,-166.086375,0.343967,343.966640
1000,20,177.875315,-160.323246,0.338193,338.192720
1000,30,177.875315,-156.952052,0.334846,334.845520
1000,40,177.875315,-154.560143,0.332419,332.418800
1000,50,177.875315,-152.704808,0.330578,330.577840
1000,60,177.875315,-151.188923,0.329072,329.071600
1000,70,177.875315,-149.907259,0.327775,327.774560
1000,80,177.875315,-148.797014,0.326687,326.686720
1000,90,177.875315,-147.817703,0.325683,325.682560
1000,100,177.875315,-146.941705,0.324804,324.803920
