T,p_atm,H_kJ,G_kJ,S_kJ_per_molK,TS_kJ_per_mol
100,1,58.012383,42.974335,0.015021,15.020560
100,10,58.012383,44.888797,0.013138,13.137760
100,20,58.012383,45.465121,0.012552,12.552000
100,30,58.012383,45.802235,0.012217,12.217280
100,40,58.012383,46.041418,0.011966,11.966240
100,50,58.012383,46.226962,0.011799,11.798880
100,60,58.012383,46.378532,0.011632,11.631520
100,70,58.012383,46.506709,0.011506,11.506000
100,80,58.012383,46.617741,0.011380,11.380480
100,90,58.012383,46.715672,0.011297,11.296800
100,100,58.012383,46.803259,0.011213,11.213120
200,1,61.338340,26.651552,0.034685,34.685360
200,10,61.338340,30.480475,0.030878,30.877920
200,20,61.338340,31.633096,0.029706,29.706400
200,30,61.338340,32.307350,0.029037,29.036960
200,40,61.338340,32.785743,0.028535,28.534880
200,50,61.338340,33.156805,0.028200,28.200160
200,60,61.338340,33.459971,0.027865,27.865440
200,70,61.338340,33.716299,0.027614,27.614400
200,80,61.338340,33.938363,0.027405,27.405200
200,90,61.338340,34.134226,0.027196,27.196000
200,100,61.338340,34.309425,0.027029,27.028640
300,1,64.671700,8.587589,0.056066,56.065600
300,10,64.671700,14.331001,0.050334,50.333520
300,20,64.671700,16.059945,0.048618,48.618080
300,30,64.671700,17.071314,0.047614,47.613920
300,40,64.671700,17.788863,0.046903,46.902640
300,50,64.671700,18.345469,0.046317,46.316880
300,60,64.671700,18.800231,0.045857,45.856640
300,70,64.671700,19.184736,0.045480,45.480080
300,80,64.671700,19.517807,0.045145,45.145360
300,90,64.671700,19.811600,0.044852,44.852480
300,100,64.671700,20.074413,0.044601,44.601440
400,1,68.044837,-10.613819,0.078659,78.659200
400,10,68.044837,-2.955945,0.071002,71.002480
400,20,68.044837,-0.650704,0.068701,68.701280
400,30,68.044837,0.697779,0.067362,67.362400
400,40,68.044837,1.654537,0.066400,66.400080
400,50,68.044837,2.396661,0.065647,65.646960
400,60,68.044837,3.003020,0.065061,65.061200
400,70,68.044837,3.515702,0.064517,64.517280
400,80,68.044837,3.959779,0.064099,64.098880
400,90,68.044837,4.351503,0.063680,63.680480
400,100,68.044837,4.701902,0.063346,63.345760
500,1,71.496529,-30.675970,0.102173,102.173280
500,10,71.496529,-21.103635,0.092592,92.591920
500,20,71.496529,-18.222070,0.089705,89.704960
500,30,71.496529,-16.536473,0.088031,88.031360
500,40,71.496529,-15.340505,0.086818,86.818000
500,50,71.496529,-14.412838,0.085898,85.897520
500,60,71.496529,-13.654908,0.085144,85.144400
500,70,71.496529,-13.014050,0.084517,84.516800
500,80,71.496529,-12.458941,0.083973,83.972880
500,90,71.496529,-11.969285,0.083471,83.470800
500,100,71.496529,-11.531299,0.083011,83.010560
600,1,75.048935,-51.442333,0.126482,126.482320
600,10,75.048935,-39.955536,0.115018,115.018160
600,20,75.048935,-36.497648,0.111545,111.545440
600,30,75.048935,-34.474937,0.109537,109.537120
600,40,75.048935,-33.039786,0.108073,108.072720
600,50,75.048935,-31.926600,0.106985,106.984880
600,60,75.048935,-31.017049,0.106064,106.064400
600,70,75.048935,-30.248040,0.105311,105.311280
600,80,75.048935,-29.581898,0.104642,104.641840
600,90,75.048935,-28.994337,0.104056,104.056080
600,100,75.048935,-28.468712,0.103512,103.512160
700,1,78.711927,-72.812167,0.151544,151.544480
700,10,78.711927,-59.410908,0.138114,138.113840
700,20,78.711927,-55.376723,0.134097,134.097200
700,30,78.711927,-53.016871,0.131712,131.712320
700,40,78.711927,-51.342538,0.130039,130.038720
700,50,78.711927,-50.043808,0.128742,128.741680
700,60,78.711927,-48.982686,0.127696,127.695680
700,70,78.711927,-48.085500,0.126817,126.817040
700,80,78.711927,-47.308353,0.126022,126.022080
700,90,78.711927,-46.622835,0.125353,125.352640
700,100,78.711927,-46.009623,0.124725,124.725040
800,1,82.490993,-94.714951,0.177192,177.192400
800,10,82.490993,-79.399204,0.161879,161.878960
800,20,82.490993,-74.788722,0.157277,157.276560
800,30,82.490993,-72.091756,0.154599,154.598800
800,40,82.490993,-70.178213,0.152674,152.674160
800,50,82.490993,-68.693966,0.151168,151.167920
800,60,82.490993,-67.481248,0.149955,149.954560
800,70,82.490993,-66.455911,0.148950,148.950400
800,80,82.490993,-65.567731,0.148072,148.071760
800,90,82.490993,-64.784282,0.147277,147.276800
800,100,82.490993,-64.083484,0.146566,146.565520
900,1,86.390017,-117.098517,0.203468,203.467920
900,10,86.390017,-99.868308,0.186272,186.271680
900,20,86.390017,-94.681502,0.181084,181.083520
900,30,86.390017,-91.647423,0.178029,178.029200
900,40,86.390017,-89.494697,0.175895,175.895360
900,50,86.390017,-87.824905,0.174222,174.221760
900,60,86.390017,-86.460591,0.172841,172.841040
900,70,86.390017,-85.307104,0.171711,171.711360
900,80,86.390017,-84.307891,0.170707,170.707200
900,90,86.390017,-83.426511,0.169829,169.828560
900,100,86.390017,-82.638099,0.169034,169.033600
1000,1,90.410812,-139.922720,0.230329,230.329200
1000,10,90.410812,-120.778050,0.211208,211.208320
1000,20,90.410812,-115.014921,0.205434,205.434400
1000,30,90.410812,-111.643700,0.202045,202.045360
1000,40,90.410812,-109.251791,0.199660,199.660480
1000,50,90.410812,-107.396482,0.197820,197.819520
1000,60,90.410812,-105.880571,0.196271,196.271440
1000,70,90.410812,-104.598907,0.195016,195.016240
1000,80,90.410812,-103.488662,0.193887,193.886560
1000,90,90.410812,-102.509377,0.192924,192.924240
1000,100,90.410812,-101.633353,0.192046,192.045600
