T,p_atm,H_kJ,G_kJ,S_kJ_per_molK,TS_kJ_per_mol
100,1,95.009690,78.582989,0.016443,16.443120
100,10,95.009690,80.497451,0.014518,14.518480
100,20,95.009690,81.073774,0.013933,13.932720
100,30,95.009690,81.410888,0.013598,13.598000
100,40,95.009690,81.650098,0.013347,13.346960
100,50,95.009690,81.835615,0.013180,13.179600
100,60,95.009690,81.987212,0.013012,13.012240
100,70,95.009690,82.115389,0.012887,12.886720
100,80,95.009690,82.226395,0.012803,12.803040
100,90,95.009690,82.324326,0.012678,12.677520
100,100,95.009690,82.411939,0.012594,12.593840
200,1,98.339742,60.871027,0.037489,37.488640
200,10,98.339742,64.699977,0.033639,33.639360
200,20,98.339742,65.852598,0.032468,32.467840
200,30,98.339742,66.526826,0.031798,31.798400
200,40,98.339742,67.005218,0.031338,31.338160
200,50,98.339742,67.376280,0.030962,30.961600
200,60,98.339742,67.679447,0.030669,30.668720
200,70,98.339742,67.935800,0.030418,30.417680
200,80,98.339742,68.157839,0.030167,30.166640
200,90,98.339742,68.353701,0.029999,29.999280
200,100,98.339742,68.528901,0.029790,29.790080
300,1,101.734802,41.407122,0.060333,60.333280
300,10,101.734802,47.150508,0.054601,54.601200
300,20,101.734802,48.879452,0.052844,52.843920
300,30,101.734802,49.890820,0.051840,51.839760
300,40,101.734802,50.608396,0.051128,51.128480
300,50,101.734802,51.164975,0.050585,50.584560
300,60,101.734802,51.619738,0.050124,50.124320
300,70,101.734802,52.004242,0.049748,49.747760
300,80,101.734802,52.337313,0.049413,49.413040
300,90,101.734802,52.631107,0.049120,49.120160
300,100,101.734802,52.893919,0.048827,48.827280
400,1,105.321733,20.764079,0.084559,84.558640
400,10,105.321733,28.421952,0.076902,76.901920
400,20,105.321733,30.727193,0.074601,74.600720
400,30,105.321733,32.075676,0.073262,73.261840
400,40,105.321733,33.032461,0.072300,72.299520
400,50,105.321733,33.774585,0.071546,71.546400
400,60,105.321733,34.380944,0.070961,70.960640
400,70,105.321733,34.893599,0.070417,70.416720
400,80,105.321733,35.337702,0.069998,69.998320
400,90,105.321733,35.729427,0.069580,69.579920
400,100,105.321733,36.079826,0.069245,69.245200
500,1,109.189094,-0.816557,0.109997,109.997360
500,10,109.189094,8.755779,0.100416,100.416000
500,20,109.189094,11.637343,0.097571,97.570880
500,30,109.189094,13.322940,0.095855,95.855440
500,40,109.189094,14.518908,0.094684,94.683920
500,50,109.189094,15.446549,0.093722,93.721600
500,60,109.189094,16.204505,0.092968,92.968480
500,70,109.189094,16.845337,0.092341,92.340880
500,80,109.189094,17.400472,0.091797,91.796960
500,90,109.189094,17.890102,0.091295,91.294880
500,100,109.189094,18.328114,0.090876,90.876480
600,1,113.363009,-23.204612,0.136566,136.565760
600,10,113.363009,-11.717789,0.125060,125.059760
600,20,113.363009,-8.259927,0.121629,121.628880
600,30,113.363009,-6.237189,0.119621,119.620560
600,40,113.363009,-4.802039,0.118156,118.156160
600,50,113.363009,-3.688853,0.117068,117.068320
600,60,113.363009,-2.779328,0.116148,116.147840
600,70,113.363009,-2.010319,0.115353,115.352880
600,80,113.363009,-1.344177,0.114725,114.725280
600,90,113.363009,-0.756590,0.114140,114.139520
600,100,113.363009,-0.230991,0.113596,113.595600
700,1,117.838199,-46.315494,0.164138,164.138320
700,10,117.838199,-32.914235,0.150750,150.749520
700,20,117.838199,-28.880049,0.146733,146.732880
700,30,117.838199,-26.520198,0.144348,144.348000
700,40,117.838199,-24.845864,0.142674,142.674400
700,50,117.838199,-23.547135,0.141377,141.377360
700,60,117.838199,-22.486013,0.140331,140.331360
700,70,117.838199,-21.588827,0.139411,139.410880
700,80,117.838199,-20.811679,0.138658,138.657760
700,90,117.838199,-20.126161,0.137946,137.946480
700,100,117.838199,-19.512949,0.137361,137.360720
800,1,122.601197,-70.087686,0.192673,192.673200
800,10,122.601197,-54.771939,0.177360,177.359760
800,20,122.601197,-50.161457,0.172757,172.757360
800,30,122.601197,-47.464491,0.170080,170.079600
800,40,122.601197,-45.550948,0.168155,168.154960
800,50,122.601197,-44.066701,0.166649,166.648720
800,60,122.601197,-42.853982,0.165435,165.435360
800,70,122.601197,-41.828646,0.164431,164.431200
800,80,122.601197,-40.940466,0.163553,163.552560
800,90,122.601197,-40.157017,0.162758,162.757600
800,100,122.601197,-39.456218,0.162046,162.046320
900,1,127.637666,-94.473379,0.222129,222.128560
900,10,127.637666,-77.243170,0.204890,204.890480
900,20,127.637666,-72.056338,0.199702,199.702320
900,30,127.637666,-69.022258,0.196648,196.648000
900,40,127.637666,-66.869532,0.194514,194.514160
900,50,127.637666,-65.199767,0.192841,192.840560
900,60,127.637666,-63.835453,0.191460,191.459840
900,70,127.637666,-62.681939,0.190330,190.330160
900,80,127.637666,-61.682727,0.189326,189.326000
900,90,127.637666,-60.801346,0.188447,188.447360
900,100,127.637666,-60.012935,0.187652,187.652400
1000,1,132.932958,-119.433794,0.252379,252.378880
1000,10,132.932958,-100.289123,0.233216,233.216160
1000,20,132.932958,-94.525994,0.227442,227.442240
1000,30,132.932958,-91.154800,0.224095,224.095040
1000,40,132.932958,-88.762865,0.221710,221.710160
1000,50,132.932958,-86.907556,0.219827,219.827360
1000,60,132.932958,-85.391671,0.218321,218.321120
1000,70,132.932958,-84.109981,0.217024,217.024080
1000,80,132.932958,-82.999762,0.215936,215.936240
1000,90,132.932958,-82.020451,0.214932,214.932080
1000,100,132.932958,-81.144453,0.214095,214.095280
