T,p_atm,H_kJ,G_kJ,S_kJ_per_molK,TS_kJ_per_mol
100,1,12.720913,-5.170160,0.017908,17.907520
100,10,12.720913,-3.255672,0.015983,15.982880
100,20,12.720913,-2.679375,0.015397,15.397120
100,30,12.720913,-2.342261,0.015062,15.062400
100,40,12.720913,-2.103051,0.014811,14.811360
100,50,12.720913,-1.917534,0.014644,14.644000
100,60,12.720913,-1.765937,0.014477,14.476640
100,70,12.720913,-1.637760,0.014351,14.351120
100,80,12.720913,-1.526754,0.014267,14.267440
100,90,12.720913,-1.428823,0.014142,14.141920
100,100,12.720913,-1.341210,0.014058,14.058240
200,1,15.631122,-24.185341,0.039832,39.831680
200,10,15.631122,-20.356391,0.035982,35.982400
200,20,15.631122,-19.203771,0.034853,34.852720
200,30,15.631122,-18.529542,0.034141,34.141440
200,40,15.631122,-18.051150,0.033681,33.681200
200,50,15.631122,-17.680088,0.033305,33.304640
200,60,15.631122,-17.376922,0.033012,33.011760
200,70,15.631122,-17.120568,0.032761,32.760720
200,80,15.631122,-16.898529,0.032510,32.509680
200,90,15.631122,-16.702667,0.032342,32.342320
200,100,15.631122,-16.527468,0.032175,32.174960
300,1,18.548577,-44.724126,0.063262,63.262080
300,10,18.548577,-38.980740,0.057530,57.530000
300,20,18.548577,-37.251796,0.055815,55.814560
300,30,18.548577,-36.240428,0.054769,54.768560
300,40,18.548577,-35.522852,0.054057,54.057280
300,50,18.548577,-34.966273,0.053513,53.513360
300,60,18.548577,-34.511484,0.053053,53.053120
300,70,18.548577,-34.127005,0.052677,52.676560
300,80,18.548577,-33.793935,0.052342,52.341840
300,90,18.548577,-33.500141,0.052049,52.048960
300,100,18.548577,-33.237329,0.051798,51.797920
400,1,21.505047,-66.258999,0.087780,87.780320
400,10,21.505047,-58.601125,0.080124,80.123600
400,20,21.505047,-56.295858,0.077781,77.780560
400,30,21.505047,-54.947375,0.076442,76.441680
400,40,21.505047,-53.990617,0.075479,75.479360
400,50,21.505047,-53.248493,0.074768,74.768080
